id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kelompok_pengeluaran;kode_bulan;bulan_pengeluaran;nilai_inflasi;satuan;tahun
1;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;1;JANUARI;0,78;PERSEN;2020
2;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;2,49;PERSEN;2020
3;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;1;JANUARI;0,22;PERSEN;2020
4;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;0,03;PERSEN;2020
5;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0,3;PERSEN;2020
6;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;1;JANUARI;1,31;PERSEN;2020
7;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;1;JANUARI;0,1;PERSEN;2020
8;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;0,31;PERSEN;2020
9;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;-0,06;PERSEN;2020
10;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;1;JANUARI;0,07;PERSEN;2020
11;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;0,61;PERSEN;2020
12;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;0,41;PERSEN;2020
13;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;2;FEBRUARI;0,25;PERSEN;2020
14;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;0,75;PERSEN;2020
15;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;-0,08;PERSEN;2020
16;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;0,09;PERSEN;2020
17;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;-0,09;PERSEN;2020
18;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;2;FEBRUARI;0,03;PERSEN;2020
19;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;2;FEBRUARI;0,11;PERSEN;2020
20;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;0,22;PERSEN;2020
21;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;0,1;PERSEN;2020
22;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;2;FEBRUARI;0;PERSEN;2020
23;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;0,24;PERSEN;2020
24;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;-0,16;PERSEN;2020
25;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;3;MARET;0,04;PERSEN;2020
26;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;3;MARET;-0,77;PERSEN;2020
27;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;3;MARET;0,24;PERSEN;2020
28;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;3;MARET;0,02;PERSEN;2020
