id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;garis_kemiskinan;satuan;tahun
406;32;JAWA BARAT;3201;KABUPATEN BOGOR;373799;RUPIAH/KAPITA/BULAN;2019
407;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;309676;RUPIAH/KAPITA/BULAN;2019
408;32;JAWA BARAT;3203;KABUPATEN CIANJUR;350760;RUPIAH/KAPITA/BULAN;2019
409;32;JAWA BARAT;3204;KABUPATEN BANDUNG;345177;RUPIAH/KAPITA/BULAN;2019
410;32;JAWA BARAT;3205;KABUPATEN GARUT;301202;RUPIAH/KAPITA/BULAN;2019
411;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;311848;RUPIAH/KAPITA/BULAN;2019
412;32;JAWA BARAT;3207;KABUPATEN CIAMIS;363750;RUPIAH/KAPITA/BULAN;2019
413;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;340775;RUPIAH/KAPITA/BULAN;2019
414;32;JAWA BARAT;3209;KABUPATEN CIREBON;381372;RUPIAH/KAPITA/BULAN;2019
415;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;445184;RUPIAH/KAPITA/BULAN;2019
416;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;342073;RUPIAH/KAPITA/BULAN;2019
417;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;458240;RUPIAH/KAPITA/BULAN;2019
418;32;JAWA BARAT;3213;KABUPATEN SUBANG;339607;RUPIAH/KAPITA/BULAN;2019
419;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;367273;RUPIAH/KAPITA/BULAN;2019
420;32;JAWA BARAT;3215;KABUPATEN KARAWANG;440347;RUPIAH/KAPITA/BULAN;2019
421;32;JAWA BARAT;3216;KABUPATEN BEKASI;481732;RUPIAH/KAPITA/BULAN;2019
422;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;341307;RUPIAH/KAPITA/BULAN;2019
423;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;367748;RUPIAH/KAPITA/BULAN;2019
424;32;JAWA BARAT;3271;KOTA BOGOR;513343;RUPIAH/KAPITA/BULAN;2019
425;32;JAWA BARAT;3272;KOTA SUKABUMI;520742;RUPIAH/KAPITA/BULAN;2019
426;32;JAWA BARAT;3273;KOTA BANDUNG;474448;RUPIAH/KAPITA/BULAN;2019
427;32;JAWA BARAT;3274;KOTA CIREBON;444574;RUPIAH/KAPITA/BULAN;2019
428;32;JAWA BARAT;3275;KOTA BEKASI;617718;RUPIAH/KAPITA/BULAN;2019
429;32;JAWA BARAT;3276;KOTA DEPOK;644860;RUPIAH/KAPITA/BULAN;2019
430;32;JAWA BARAT;3277;KOTA CIMAHI;484804;RUPIAH/KAPITA/BULAN;2019
431;32;JAWA BARAT;3278;KOTA TASIKMALAYA;457899;RUPIAH/KAPITA/BULAN;2019
432;32;JAWA BARAT;3279;KOTA BANJAR;334590;RUPIAH/KAPITA/BULAN;2019
433;32;JAWA BARAT;3201;KABUPATEN BOGOR;402877;RUPIAH/KAPITA/BULAN;2020
434;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;328284;RUPIAH/KAPITA/BULAN;2020
435;32;JAWA BARAT;3203;KABUPATEN CIANJUR;371699;RUPIAH/KAPITA/BULAN;2020
436;32;JAWA BARAT;3204;KABUPATEN BANDUNG;367403;RUPIAH/KAPITA/BULAN;2020
437;32;JAWA BARAT;3205;KABUPATEN GARUT;310437;RUPIAH/KAPITA/BULAN;2020
438;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;323880;RUPIAH/KAPITA/BULAN;2020
439;32;JAWA BARAT;3207;KABUPATEN CIAMIS;378108;RUPIAH/KAPITA/BULAN;2020
440;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;352358;RUPIAH/KAPITA/BULAN;2020
441;32;JAWA BARAT;3209;KABUPATEN CIREBON;393452;RUPIAH/KAPITA/BULAN;2020
442;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;453201;RUPIAH/KAPITA/BULAN;2020
443;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;353092;RUPIAH/KAPITA/BULAN;2020
