id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kepadatan_penduduk;satuan;tahun
163;32;JAWA BARAT;3201;KABUPATEN BOGOR;1740;JIWA/KM2;2019
164;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;620;JIWA/KM2;2019
165;32;JAWA BARAT;3203;KABUPATEN CIANJUR;597;JIWA/KM2;2019
166;32;JAWA BARAT;3204;KABUPATEN BANDUNG;2015;JIWA/KM2;2019
167;32;JAWA BARAT;3205;KABUPATEN GARUT;743;JIWA/KM2;2019
168;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;704;JIWA/KM2;2019
169;32;JAWA BARAT;3207;KABUPATEN CIAMIS;886;JIWA/KM2;2019
170;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1054;JIWA/KM2;2019
171;32;JAWA BARAT;3209;KABUPATEN CIREBON;2224;JIWA/KM2;2019
172;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1086;JIWA/KM2;2019
173;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;760;JIWA/KM2;2019
174;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;912;JIWA/KM2;2019
175;32;JAWA BARAT;3213;KABUPATEN SUBANG;831;JIWA/KM2;2019
176;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1151;JIWA/KM2;2019
177;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1406;JIWA/KM2;2019
178;32;JAWA BARAT;3216;KABUPATEN BEKASI;2184;JIWA/KM2;2019
179;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1277;JIWA/KM2;2019
180;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;421;JIWA/KM2;2019
181;32;JAWA BARAT;3271;KOTA BOGOR;8847;JIWA/KM2;2019
182;32;JAWA BARAT;3272;KOTA SUKABUMI;7232;JIWA/KM2;2019
183;32;JAWA BARAT;3273;KOTA BANDUNG;14794;JIWA/KM2;2019
184;32;JAWA BARAT;3274;KOTA CIREBON;9111;JIWA/KM2;2019
185;32;JAWA BARAT;3275;KOTA BEKASI;11852;JIWA/KM2;2019
186;32;JAWA BARAT;3276;KOTA DEPOK;9275;JIWA/KM2;2019
187;32;JAWA BARAT;3277;KOTA CIMAHI;14101;JIWA/KM2;2019
188;32;JAWA BARAT;3278;KOTA TASIKMALAYA;4195;JIWA/KM2;2019
