id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_lowongan_kerja;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;20;LOWONGAN KERJA;2018
2;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;193;LOWONGAN KERJA;2018
3;32;JAWA BARAT;3203;KABUPATEN CIANJUR;0;LOWONGAN KERJA;2018
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;0;LOWONGAN KERJA;2018
5;32;JAWA BARAT;3205;KABUPATEN GARUT;2;LOWONGAN KERJA;2018
6;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;150;LOWONGAN KERJA;2018
7;32;JAWA BARAT;3207;KABUPATEN CIAMIS;112;LOWONGAN KERJA;2018
8;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;2241;LOWONGAN KERJA;2018
9;32;JAWA BARAT;3209;KABUPATEN CIREBON;10;LOWONGAN KERJA;2018
10;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;0;LOWONGAN KERJA;2018
11;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;0;LOWONGAN KERJA;2018
12;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;80;LOWONGAN KERJA;2018
13;32;JAWA BARAT;3213;KABUPATEN SUBANG;1074;LOWONGAN KERJA;2018
14;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;323;LOWONGAN KERJA;2018
15;32;JAWA BARAT;3215;KABUPATEN KARAWANG;0;LOWONGAN KERJA;2018
16;32;JAWA BARAT;3216;KABUPATEN BEKASI;0;LOWONGAN KERJA;2018
17;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3;LOWONGAN KERJA;2018
18;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2;LOWONGAN KERJA;2018
19;32;JAWA BARAT;3271;KOTA BOGOR;515;LOWONGAN KERJA;2018
20;32;JAWA BARAT;3272;KOTA SUKABUMI;121;LOWONGAN KERJA;2018
21;32;JAWA BARAT;3273;KOTA BANDUNG;3001;LOWONGAN KERJA;2018
22;32;JAWA BARAT;3274;KOTA CIREBON;0;LOWONGAN KERJA;2018
23;32;JAWA BARAT;3275;KOTA BEKASI;0;LOWONGAN KERJA;2018
24;32;JAWA BARAT;3276;KOTA DEPOK;1;LOWONGAN KERJA;2018
25;32;JAWA BARAT;3277;KOTA CIMAHI;0;LOWONGAN KERJA;2018
26;32;JAWA BARAT;3278;KOTA TASIKMALAYA;648;LOWONGAN KERJA;2018
27;32;JAWA BARAT;3279;KOTA BANJAR;2;LOWONGAN KERJA;2018
28;32;JAWA BARAT;3201;KABUPATEN BOGOR;22;LOWONGAN KERJA;2019
29;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1805;LOWONGAN KERJA;2019
30;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2;LOWONGAN KERJA;2019
31;32;JAWA BARAT;3204;KABUPATEN BANDUNG;69;LOWONGAN KERJA;2019
32;32;JAWA BARAT;3205;KABUPATEN GARUT;0;LOWONGAN KERJA;2019
33;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;6;LOWONGAN KERJA;2019
34;32;JAWA BARAT;3207;KABUPATEN CIAMIS;41;LOWONGAN KERJA;2019
35;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;0;LOWONGAN KERJA;2019
36;32;JAWA BARAT;3209;KABUPATEN CIREBON;0;LOWONGAN KERJA;2019
37;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;77;LOWONGAN KERJA;2019
38;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1153;LOWONGAN KERJA;2019
39;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;0;LOWONGAN KERJA;2019
40;32;JAWA BARAT;3213;KABUPATEN SUBANG;3724;LOWONGAN KERJA;2019
41;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;12;LOWONGAN KERJA;2019
