id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_pencari_kerja;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;1488;ORANG;2018
2;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;22613;ORANG;2018
3;32;JAWA BARAT;3203;KABUPATEN CIANJUR;111;ORANG;2018
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3760;ORANG;2018
5;32;JAWA BARAT;3205;KABUPATEN GARUT;53;ORANG;2018
6;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;9421;ORANG;2018
7;32;JAWA BARAT;3207;KABUPATEN CIAMIS;10601;ORANG;2018
8;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;12587;ORANG;2018
9;32;JAWA BARAT;3209;KABUPATEN CIREBON;63;ORANG;2018
10;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;29;ORANG;2018
11;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1218;ORANG;2018
12;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;19551;ORANG;2018
13;32;JAWA BARAT;3213;KABUPATEN SUBANG;14777;ORANG;2018
14;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;9447;ORANG;2018
15;32;JAWA BARAT;3215;KABUPATEN KARAWANG;74;ORANG;2018
16;32;JAWA BARAT;3216;KABUPATEN BEKASI;162;ORANG;2018
17;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;31;ORANG;2018
18;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;11;ORANG;2018
19;32;JAWA BARAT;3271;KOTA BOGOR;3485;ORANG;2018
20;32;JAWA BARAT;3272;KOTA SUKABUMI;4416;ORANG;2018
21;32;JAWA BARAT;3273;KOTA BANDUNG;3255;ORANG;2018
22;32;JAWA BARAT;3274;KOTA CIREBON;435;ORANG;2018
23;32;JAWA BARAT;3275;KOTA BEKASI;228;ORANG;2018
24;32;JAWA BARAT;3276;KOTA DEPOK;120;ORANG;2018
25;32;JAWA BARAT;3277;KOTA CIMAHI;34;ORANG;2018
26;32;JAWA BARAT;3278;KOTA TASIKMALAYA;6306;ORANG;2018
27;32;JAWA BARAT;3279;KOTA BANJAR;7;ORANG;2018
28;32;JAWA BARAT;3201;KABUPATEN BOGOR;4909;ORANG;2019
29;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;46812;ORANG;2019
30;32;JAWA BARAT;3203;KABUPATEN CIANJUR;812;ORANG;2019
31;32;JAWA BARAT;3204;KABUPATEN BANDUNG;5327;ORANG;2019
32;32;JAWA BARAT;3205;KABUPATEN GARUT;928;ORANG;2019
33;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;11759;ORANG;2019
34;32;JAWA BARAT;3207;KABUPATEN CIAMIS;12233;ORANG;2019
35;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;11159;ORANG;2019
36;32;JAWA BARAT;3209;KABUPATEN CIREBON;314;ORANG;2019
37;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;224;ORANG;2019
38;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;11892;ORANG;2019
