id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;besaran_upah_minimum;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;3204551;RUPIAH;2017
2;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2376558,39;RUPIAH;2017
3;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1989115;RUPIAH;2017
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;2463461,49;RUPIAH;2017
5;32;JAWA BARAT;3205;KABUPATEN GARUT;1538909;RUPIAH;2017
6;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1767029,7;RUPIAH;2017
7;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1475792,82;RUPIAH;2017
8;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1477352,7;RUPIAH;2017
9;32;JAWA BARAT;3209;KABUPATEN CIREBON;1723578,15;RUPIAH;2017
10;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1525632;RUPIAH;2017
11;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;2463461,49;RUPIAH;2017
12;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1803239,33;RUPIAH;2017
13;32;JAWA BARAT;3213;KABUPATEN SUBANG;2327072;RUPIAH;2017
14;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;3169549,17;RUPIAH;2017
15;32;JAWA BARAT;3215;KABUPATEN KARAWANG;3605272;RUPIAH;2017
16;32;JAWA BARAT;3216;KABUPATEN BEKASI;3530438,44;RUPIAH;2017
17;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;2468289,44;RUPIAH;2017
18;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1433901,15;RUPIAH;2017
19;32;JAWA BARAT;3271;KOTA BOGOR;3272143;RUPIAH;2017
20;32;JAWA BARAT;3272;KOTA SUKABUMI;1985494;RUPIAH;2017
21;32;JAWA BARAT;3273;KOTA BANDUNG;2843662,55;RUPIAH;2017
22;32;JAWA BARAT;3274;KOTA CIREBON;1741682,96;RUPIAH;2017
23;32;JAWA BARAT;3275;KOTA BEKASI;3601650;RUPIAH;2017
