id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;pendidikan;jumlah_pengangguran;satuan;tahun
892;32;JAWA BARAT;3201;KABUPATEN BOGOR;SD KE BAWAH;64836;ORANG;2019
893;32;JAWA BARAT;3201;KABUPATEN BOGOR;SMP;36554;ORANG;2019
894;32;JAWA BARAT;3201;KABUPATEN BOGOR;SMA;129723;ORANG;2019
895;32;JAWA BARAT;3201;KABUPATEN BOGOR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;21901;ORANG;2019
896;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SD KE BAWAH;22553;ORANG;2019
897;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SMP;28018;ORANG;2019
898;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SMA;34285;ORANG;2019
899;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;4642;ORANG;2019
900;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SD KE BAWAH;38565;ORANG;2019
901;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SMP;24340;ORANG;2019
902;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SMA;39141;ORANG;2019
903;32;JAWA BARAT;3203;KABUPATEN CIANJUR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;3079;ORANG;2019
904;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SD KE BAWAH;16057;ORANG;2019
905;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SMP;18838;ORANG;2019
906;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SMA;48722;ORANG;2019
907;32;JAWA BARAT;3204;KABUPATEN BANDUNG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;14339;ORANG;2019
908;32;JAWA BARAT;3205;KABUPATEN GARUT;SD KE BAWAH;22289;ORANG;2019
909;32;JAWA BARAT;3205;KABUPATEN GARUT;SMP;25311;ORANG;2019
910;32;JAWA BARAT;3205;KABUPATEN GARUT;SMA;32272;ORANG;2019
911;32;JAWA BARAT;3205;KABUPATEN GARUT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;4173;ORANG;2019
